Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,Utilities,HouseStyle,YearBuilt,BedroomAbvGr,KitchenAbvGr,SalePrice
69,RM,47,4608,Pave,NA,Reg,AllPub,1Story,1945,2,1,80000
70,RL,81,15593,Pave,NA,Reg,AllPub,1.5Fin,1953,3,1,225000
71,RL,95,13651,Pave,NA,IR1,AllPub,1Story,1973,3,1,244000
72,RL,69,7599,Pave,NA,Reg,AllPub,1Story,1982,2,1,129500
73,RL,74,10141,Pave,NA,IR1,AllPub,2Story,1998,3,1,185000
74,RL,85,10200,Pave,NA,Reg,AllPub,1Story,1954,3,1,144900
75,RM,60,5790,Pave,NA,Reg,AllPub,2Story,1915,3,2,107400
76,RM,21,1596,Pave,NA,Reg,AllPub,SLvl,1973,2,1,91000
77,RL,NA,8475,Pave,NA,IR1,AllPub,1Story,1956,2,1,135750
78,RM,50,8635,Pave,NA,Reg,AllPub,1.5Fin,1948,2,1,127000
79,RL,72,10778,Pave,NA,Reg,AllPub,1Story,1968,4,2,136500
80,RM,60,10440,Pave,Grvl,Reg,AllPub,2Story,1910,2,1,110000
81,RL,100,13000,Pave,NA,Reg,AllPub,2Story,1968,4,1,193500
82,RM,32,4500,Pave,NA,Reg,AllPub,1Story,1998,2,1,153500
83,RL,78,10206,Pave,NA,Reg,AllPub,1Story,2007,3,1,245000
84,RL,80,8892,Pave,NA,IR1,AllPub,1Story,1960,3,1,126500
85,RL,NA,8530,Pave,NA,IR1,AllPub,SLvl,1995,3,1,168500
86,RL,121,16059,Pave,NA,Reg,AllPub,2Story,1991,4,1,260000
87,RL,122,11911,Pave,NA,IR2,AllPub,2Story,2005,3,1,174000
88,FV,40,3951,Pave,Pave,Reg,AllPub,2Story,2009,2,1,164500
89,C (all),105,8470,Pave,NA,IR1,AllPub,1.5Fin,1915,2,1,85000
90,RL,60,8070,Pave,NA,Reg,AllPub,1Story,1994,3,1,123600
91,RL,60,7200,Pave,NA,Reg,AllPub,1Story,1950,2,1,109900
92,RL,85,8500,Pave,NA,Reg,AllPub,1Story,1961,2,1,98600
93,RL,80,13360,Pave,Grvl,IR1,AllPub,1Story,1921,2,1,163500
94,C (all),60,7200,Pave,NA,Reg,AllPub,2.5Unf,1910,4,2,133900
95,RL,69,9337,Pave,NA,IR1,AllPub,2Story,1997,3,1,204750
96,RL,NA,9765,Pave,NA,IR2,AllPub,2Story,1993,3,1,185000
97,RL,78,10264,Pave,NA,IR1,AllPub,1Story,1999,3,1,214000
98,RL,73,10921,Pave,NA,Reg,AllPub,1Story,1965,3,1,94750
99,RL,85,10625,Pave,NA,Reg,AllPub,1Story,1920,2,1,83000
100,RL,77,9320,Pave,NA,IR1,AllPub,1Story,1959,3,1,128950
101,RL,NA,10603,Pave,NA,IR1,AllPub,1Story,1977,3,1,205000
102,RL,77,9206,Pave,NA,Reg,AllPub,2Story,1985,3,1,178000
103,RL,64,7018,Pave,NA,Reg,AllPub,1Story,1979,4,2,118964
104,RL,94,10402,Pave,NA,IR1,AllPub,1Story,2009,3,1,198900
105,RM,NA,7758,Pave,NA,Reg,AllPub,1.5Fin,1931,4,1,169500
106,FV,75,9375,Pave,NA,Reg,AllPub,2Story,2003,3,1,250000
107,RM,60,10800,Pave,Grvl,Reg,AllPub,1Story,1885,2,1,100000
108,RM,50,6000,Pave,NA,Reg,AllPub,1Story,1948,2,1,115000
109,RM,85,8500,Pave,NA,Reg,AllPub,1.5Fin,1919,3,1,115000
110,RL,105,11751,Pave,NA,IR1,AllPub,1Story,1977,3,1,190000
111,RL,75,9525,Pave,NA,Reg,AllPub,1.5Fin,1954,4,1,136900
112,RL,NA,7750,Pave,NA,IR1,AllPub,SLvl,2000,3,1,180000
113,RL,77,9965,Pave,NA,Reg,AllPub,2Story,2007,4,1,383970
114,RL,NA,21000,Pave,NA,Reg,AllPub,1Story,1953,3,1,217000
115,RL,61,7259,Pave,NA,IR1,AllPub,2Story,1945,3,1,259500
116,FV,34,3230,Pave,Pave,Reg,AllPub,2Story,1999,2,1,176000
117,RL,NA,11616,Pave,NA,Reg,AllPub,1Story,1962,3,1,139000
118,RL,74,8536,Pave,NA,Reg,AllPub,1Story,2006,2,1,155000
119,RL,90,12376,Pave,NA,Reg,AllPub,2Story,1990,5,1,320000
120,RL,65,8461,Pave,NA,Reg,AllPub,2Story,2005,3,1,163990
121,RL,NA,21453,Pave,NA,IR1,AllPub,SLvl,1969,1,1,180000
122,RM,50,6060,Pave,NA,Reg,AllPub,1.5Fin,1939,3,1,100000
123,RL,75,9464,Pave,NA,Reg,AllPub,1Story,1958,3,1,136000
124,RL,55,7892,Pave,NA,Reg,AllPub,1Story,1993,2,1,153900
125,RL,48,17043,Pave,NA,IR1,AllPub,1Story,1979,3,1,181000
126,RM,60,6780,Pave,NA,Reg,AllPub,1.5Fin,1935,2,1,84500
127,RL,NA,4928,Pave,NA,IR1,AllPub,1Story,1976,2,1,128000
128,RM,55,4388,Pave,NA,IR1,AllPub,1.5Unf,1930,3,1,87000
129,RL,69,7590,Pave,NA,Reg,AllPub,2Story,1966,3,1,155000
130,RL,69,8973,Pave,NA,Reg,AllPub,1Story,1958,3,1,150000
131,RL,88,14200,Pave,NA,Reg,AllPub,2Story,1966,4,1,226000
132,RL,NA,12224,Pave,NA,IR1,AllPub,2Story,2000,3,1,244000
133,RL,75,7388,Pave,NA,Reg,AllPub,1Story,1959,3,1,150750
134,RL,NA,6853,Pave,NA,IR1,AllPub,1Story,2001,2,1,220000
135,RL,78,10335,Pave,NA,IR1,AllPub,1Story,1968,3,1,180000
136,RL,80,10400,Pave,NA,Reg,AllPub,1Story,1970,3,1,174000
137,RL,NA,10355,Pave,NA,IR1,AllPub,1Story,1967,3,1,143000
138,RL,82,11070,Pave,NA,Reg,AllPub,1Story,1988,5,2,171000
139,RL,73,9066,Pave,NA,IR1,AllPub,2Story,1999,3,1,230000
140,RL,65,15426,Pave,NA,IR1,AllPub,2Story,1997,3,1,231500
141,RL,70,10500,Pave,NA,Reg,AllPub,1Story,1971,3,1,115000
142,RL,78,11645,Pave,NA,Reg,AllPub,1Story,2005,3,1,260000
143,RL,71,8520,Pave,NA,Reg,AllPub,1.5Fin,1952,4,1,166000
144,RL,78,10335,Pave,NA,IR1,AllPub,1Story,1999,3,1,204000
145,RM,70,9100,Pave,NA,Reg,AllPub,1Story,1963,6,2,125000
146,RM,24,2522,Pave,NA,Reg,AllPub,2Story,2004,3,1,130000
147,RM,51,6120,Pave,NA,Reg,AllPub,1Story,1931,2,1,105000
148,RL,NA,9505,Pave,NA,IR1,AllPub,2Story,2001,3,1,222500
149,RL,63,7500,Pave,NA,Reg,AllPub,1Story,2004,3,1,141000
150,RM,NA,6240,Pave,NA,Reg,AllPub,1.5Fin,1936,3,1,115000
151,RL,120,10356,Pave,NA,Reg,AllPub,1Story,1975,3,1,122000
152,RL,107,13891,Pave,NA,Reg,AllPub,1Story,2007,2,1,372402
153,RL,NA,14803,Pave,NA,IR1,AllPub,2Story,1971,4,1,190000
154,RL,NA,13500,Pave,NA,Reg,AllPub,1Story,1960,1,1,235000
155,RM,84,11340,Pave,NA,Reg,AllPub,1Story,1923,4,1,125000
156,RL,60,9600,Pave,NA,Reg,AllPub,1.5Fin,1924,2,1,79000
157,RL,60,7200,Pave,NA,Reg,AllPub,1Story,1950,2,1,109500
158,RL,92,12003,Pave,NA,Reg,AllPub,2Story,2009,4,1,269500
159,FV,100,12552,Pave,NA,Reg,AllPub,2Story,2004,3,1,254900
160,RL,134,19378,Pave,NA,IR1,AllPub,2Story,2005,4,1,320000
161,RL,NA,11120,Pave,NA,IR1,AllPub,1Story,1984,3,1,162500
162,RL,110,13688,Pave,NA,IR1,AllPub,2Story,2003,3,1,412500
163,RL,95,12182,Pave,NA,Reg,AllPub,1Story,2005,3,1,220000
164,RL,55,5500,Pave,NA,Reg,AllPub,1.5Unf,1956,1,1,103200
165,RM,40,5400,Pave,Pave,Reg,AllPub,1Story,1926,3,1,152000
166,RL,62,10106,Pave,NA,Reg,AllPub,1.5Fin,1940,4,2,127500
167,RL,NA,10708,Pave,NA,IR1,AllPub,1Story,1955,2,1,190000
168,RL,86,10562,Pave,NA,Reg,AllPub,2Story,2007,3,1,325624
169,RL,62,8244,Pave,NA,IR1,AllPub,2Story,2004,3,1,183500
170,RL,NA,16669,Pave,NA,IR1,AllPub,1Story,1981,2,1,228000
171,RM,NA,12358,Pave,NA,IR1,AllPub,1.5Fin,1941,2,1,128500
172,RL,141,31770,Pave,NA,IR1,AllPub,1Story,1960,3,1,215000
173,RL,44,5306,Pave,NA,IR1,AllPub,2Story,1987,2,1,239000
174,RL,80,10197,Pave,NA,IR1,AllPub,1Story,1961,3,1,163000
175,RL,47,12416,Pave,NA,IR1,AllPub,1Story,1986,3,1,184000
176,RL,84,12615,Pave,NA,Reg,AllPub,1Story,1950,4,1,243000
177,RL,97,10029,Pave,NA,IR1,AllPub,2Story,1988,4,1,211000
178,RL,NA,13650,Pave,NA,Reg,AllPub,1.5Fin,1958,4,1,172500
179,RL,63,17423,Pave,NA,IR1,AllPub,1Story,2008,1,1,501837
180,RM,60,8520,Pave,NA,Reg,AllPub,1Story,1923,2,1,100000
181,FV,NA,2117,Pave,NA,Reg,AllPub,2Story,2000,3,1,177000
182,RL,54,7588,Pave,NA,Reg,AllPub,2Story,1920,4,1,200100
183,RL,60,9060,Pave,NA,Reg,AllPub,1Story,1957,3,1,120000
184,RM,63,11426,Pave,NA,Reg,AllPub,1.5Fin,2003,3,1,200000
185,RL,92,7438,Pave,NA,IR1,AllPub,1.5Fin,1908,3,1,127000
186,RM,90,22950,Pave,NA,IR2,AllPub,2.5Fin,1892,4,1,475000
187,RL,NA,9947,Pave,NA,IR1,AllPub,SLvl,1990,3,1,173000
188,RL,60,10410,Pave,NA,Reg,AllPub,1.5Fin,1916,3,1,135000
189,RL,64,7018,Pave,NA,Reg,AllPub,SFoyer,1979,2,2,153337
190,RL,41,4923,Pave,NA,Reg,AllPub,1Story,2001,0,1,286000
191,RL,70,10570,Pave,NA,Reg,AllPub,2Story,1932,3,1,315000
192,RL,NA,7472,Pave,NA,IR1,AllPub,2Story,1972,4,1,184000
193,RL,68,9017,Pave,NA,IR1,AllPub,1Story,1999,3,1,192000
194,RM,24,2522,Pave,NA,Reg,AllPub,2Story,2004,3,1,130000
195,RL,60,7180,Pave,NA,IR1,AllPub,1Story,1972,3,1,127000
196,RL,24,2280,Pave,NA,Reg,AllPub,2Story,1976,3,1,148500
197,RL,79,9416,Pave,NA,Reg,AllPub,1Story,2007,3,1,311872
198,RL,174,25419,Pave,NA,Reg,AllPub,2Story,1918,4,1,235000
199,RM,92,5520,Pave,NA,Reg,AllPub,2.5Fin,1912,5,1,104000
200,RL,76,9591,Pave,NA,Reg,AllPub,1Story,2004,3,1,274900
201,RM,80,8546,Pave,NA,Reg,AllPub,1Story,2003,2,1,140000
202,RL,75,10125,Pave,NA,Reg,AllPub,1Story,1977,3,1,171500
203,RL,50,7000,Pave,NA,Reg,AllPub,1.5Fin,1924,2,1,112000
204,RM,NA,4438,Pave,NA,Reg,AllPub,1Story,2004,1,1,149000
205,RM,50,3500,Pave,Grvl,Reg,AllPub,1.5Fin,1947,2,1,110000
206,RL,99,11851,Pave,NA,Reg,AllPub,1Story,1990,3,1,180500
207,RL,40,13673,Pave,NA,IR1,AllPub,1Story,1962,3,1,143900
208,RL,NA,12493,Pave,NA,IR1,AllPub,1Story,1960,3,1,141000
209,RL,NA,14364,Pave,NA,IR1,AllPub,2Story,1988,3,1,277000
210,RL,75,8250,Pave,NA,Reg,AllPub,1Story,1964,3,1,145000
211,RL,67,5604,Pave,NA,Reg,AllPub,1Story,1925,2,1,98000
212,RL,83,10420,Pave,NA,Reg,AllPub,1Story,2009,3,1,186000
213,FV,72,8640,Pave,NA,Reg,AllPub,2Story,2009,3,1,252678
214,RL,43,13568,Pave,NA,IR2,AllPub,1Story,1995,3,1,156000
215,RL,NA,10900,Pave,NA,IR1,AllPub,2Story,1977,3,1,161750
216,RL,72,10011,Pave,NA,IR1,AllPub,1Story,1957,2,1,134450
217,RL,65,8450,Pave,NA,Reg,AllPub,1Story,2004,3,1,210000
218,RM,57,9906,Pave,Grvl,Reg,AllPub,2Story,1925,3,1,107000
219,RL,NA,15660,Pave,NA,IR1,AllPub,1.5Fin,1939,3,1,311500
220,RL,43,3010,Pave,NA,Reg,AllPub,1Story,2005,2,1,167240
221,RL,73,8990,Pave,NA,IR1,AllPub,1Story,2006,2,1,204900
222,RL,NA,8068,Pave,NA,IR1,AllPub,2Story,2002,4,1,200000
223,RL,85,11475,Pave,NA,Reg,AllPub,2Story,1975,3,1,179900
224,RL,70,10500,Pave,NA,Reg,AllPub,1Story,1971,2,1,97000
225,RL,103,13472,Pave,NA,Reg,AllPub,1Story,2003,3,1,386250
226,RM,21,1680,Pave,NA,Reg,AllPub,2Story,1971,3,1,112000
227,RL,82,9950,Pave,NA,IR1,AllPub,2Story,1995,4,1,290000
228,RM,21,1869,Pave,NA,Reg,AllPub,2Story,1970,2,1,106000
229,RL,70,8521,Pave,NA,Reg,AllPub,1Story,1967,3,1,125000
230,RL,43,3182,Pave,NA,Reg,AllPub,1Story,2005,2,1,192500
231,RL,73,8760,Pave,NA,Reg,AllPub,1Story,1959,3,1,148000
232,RL,174,15138,Pave,NA,IR1,AllPub,2Story,1995,4,1,403000
233,RM,21,1680,Pave,NA,Reg,AllPub,2Story,1972,2,1,94500
234,RL,75,10650,Pave,NA,Reg,AllPub,1Story,1976,3,1,128200
235,RL,NA,7851,Pave,NA,Reg,AllPub,2Story,2002,4,1,216500
236,RM,21,1680,Pave,NA,Reg,AllPub,2Story,1971,2,1,89500
237,RL,65,8773,Pave,NA,Reg,AllPub,1Story,2004,3,1,185500
238,RL,NA,9453,Pave,NA,IR1,AllPub,2Story,1993,3,1,194500
239,RL,93,12030,Pave,NA,Reg,AllPub,1Story,2007,3,1,318000
240,RL,52,8741,Pave,NA,Reg,AllPub,1.5Fin,1945,3,1,113000
241,FV,75,9000,Pave,NA,Reg,AllPub,1Story,2008,3,1,262500
242,RM,40,3880,Pave,NA,Reg,AllPub,1Story,1945,2,1,110500
243,RM,63,5000,Pave,NA,Reg,AllPub,1.5Fin,1900,3,1,79000
244,RL,75,10762,Pave,NA,Reg,AllPub,2Story,1980,3,1,120000
245,RL,NA,8880,Pave,NA,IR1,AllPub,2Story,1994,3,1,205000
246,RL,80,10400,Pave,NA,Reg,AllPub,1Story,1988,3,1,241500
247,RM,69,9142,Pave,Grvl,Reg,AllPub,2Story,1910,4,2,137000
248,RL,75,11310,Pave,NA,Reg,AllPub,1Story,1954,2,1,140000
249,RL,72,11317,Pave,NA,Reg,AllPub,2Story,2003,3,1,180000
250,RL,NA,159000,Pave,NA,IR2,AllPub,1.5Fin,1958,4,1,277000
251,RL,55,5350,Pave,NA,IR1,AllPub,1Story,1940,3,1,76500
252,RM,44,4750,Pave,NA,IR1,AllPub,1Story,2006,2,1,235000
253,RL,65,8366,Pave,NA,IR1,AllPub,2Story,2004,3,1,173000
254,RL,85,9350,Pave,NA,Reg,AllPub,SLvl,1964,3,1,158000
255,RL,70,8400,Pave,NA,Reg,AllPub,1Story,1957,3,1,145000
256,RL,66,8738,Pave,NA,IR1,AllPub,2Story,1999,4,1,230000
257,FV,64,8791,Pave,NA,IR1,AllPub,2Story,2003,3,1,207500
258,RL,68,8814,Pave,NA,Reg,AllPub,1Story,2006,3,1,220000
259,RL,80,12435,Pave,NA,Reg,AllPub,2Story,2001,3,1,231500
260,RM,70,12702,Pave,NA,Reg,AllPub,1Story,1956,2,1,97000
261,RL,120,19296,Pave,NA,Reg,AllPub,SLvl,1962,3,1,176000
262,RL,69,9588,Pave,NA,IR1,AllPub,2Story,2007,3,1,276000
263,RL,88,8471,Pave,NA,IR1,AllPub,SLvl,1977,3,1,151000
264,RM,50,5500,Pave,NA,Reg,AllPub,1.5Fin,1929,3,1,130000
265,RM,30,5232,Pave,Grvl,IR3,AllPub,1Story,1925,2,1,73000
266,RL,78,12090,Pave,NA,IR1,AllPub,1Story,1981,3,1,175500
267,RL,70,11207,Pave,NA,IR1,AllPub,2Story,1997,3,1,185000
268,RL,60,8400,Pave,NA,Reg,AllPub,2.5Fin,1939,4,1,179500
269,RM,71,6900,Pave,NA,Reg,AllPub,1Story,1940,2,1,120500
270,RL,NA,7917,Pave,NA,IR1,AllPub,1Story,1976,3,1,148000
271,FV,84,10728,Pave,NA,Reg,AllPub,2Story,2006,3,1,266000
272,RL,73,39104,Pave,NA,IR1,AllPub,1Story,1954,2,1,241500
273,RL,92,11764,Pave,NA,IR1,AllPub,2Story,1999,4,1,290000
274,RL,80,9600,Pave,NA,Reg,AllPub,1Story,1958,3,1,139000
275,RL,76,8314,Pave,NA,Reg,AllPub,1Story,1982,2,1,124500
276,RL,55,7264,Pave,NA,Reg,AllPub,1.5Fin,1925,3,1,205000
277,RL,129,9196,Pave,NA,IR1,AllPub,1Story,2003,3,1,201000
278,RL,140,19138,Pave,NA,Reg,AllPub,1Story,1951,2,1,141000
279,RL,107,14450,Pave,NA,Reg,AllPub,1Story,2006,3,1,415298
280,RL,83,10005,Pave,NA,Reg,AllPub,2Story,1977,4,1,192000
281,RL,82,11287,Pave,NA,Reg,AllPub,2Story,1989,3,1,228500
282,FV,60,7200,Pave,Pave,Reg,AllPub,1Story,2006,2,1,185000
283,RL,34,5063,Pave,NA,Reg,AllPub,1Story,2007,2,1,207500
284,RL,74,9612,Pave,NA,Reg,AllPub,1Story,2008,3,1,244600
285,RL,50,8012,Pave,NA,Reg,AllPub,1Story,1992,2,1,179200
286,FV,35,4251,Pave,Pave,IR1,AllPub,2Story,2006,2,1,164700
287,RL,77,9786,Pave,NA,IR1,AllPub,1.5Fin,1962,3,1,159000
288,RL,NA,8125,Pave,NA,IR1,AllPub,1Story,1971,3,1,88000
289,RL,NA,9819,Pave,NA,IR1,AllPub,1Story,1967,3,1,122000
290,RL,60,8730,Pave,NA,Reg,AllPub,2Story,1915,3,1,153575
291,RL,120,15611,Pave,NA,Reg,AllPub,2Story,2006,3,1,233230
292,RL,55,5687,Pave,Grvl,Reg,AllPub,2Story,1912,6,1,135900
293,RL,60,11409,Pave,NA,Reg,AllPub,1.5Fin,1949,3,1,131000
294,RL,NA,16659,Pave,NA,IR1,AllPub,2Story,1977,3,1,235000
295,RL,80,9600,Pave,NA,Reg,AllPub,1Story,1953,3,1,167000
296,RL,37,7937,Pave,NA,IR1,AllPub,SLvl,1984,3,1,142500
297,RM,75,13710,Pave,NA,Reg,AllPub,1.5Fin,1950,4,1,152000
298,FV,66,7399,Pave,Pave,IR1,AllPub,2Story,1997,3,1,239000
299,RL,90,11700,Pave,NA,Reg,AllPub,2Story,1968,3,1,175000
300,RL,80,14000,Pave,NA,Reg,AllPub,1Story,1950,3,1,158500
301,RL,90,15750,Pave,NA,Reg,AllPub,1Story,1953,2,1,157000
302,RL,66,16226,Pave,NA,IR3,AllPub,2Story,1998,4,1,267000
303,RL,118,13704,Pave,NA,IR1,AllPub,1Story,2001,3,1,205000
304,RL,70,9800,Pave,NA,Reg,AllPub,1Story,1972,3,1,149900
305,RM,87,18386,Pave,NA,Reg,AllPub,2.5Fin,1880,3,1,295000
306,RL,80,10386,Pave,NA,Reg,AllPub,1Story,2004,3,1,305900
307,RL,116,13474,Pave,NA,Reg,AllPub,2Story,1990,4,1,225000
308,RM,NA,7920,Pave,Grvl,IR1,AllPub,1.5Fin,1920,3,1,89500
309,RL,NA,12342,Pave,NA,IR1,AllPub,1Story,1940,1,1,82500
310,RL,90,12378,Pave,NA,IR1,AllPub,1Story,2003,3,1,360000
311,RL,NA,7685,Pave,NA,IR1,AllPub,2Story,1993,3,1,165600
312,RL,50,8000,Pave,NA,Reg,AllPub,1Story,1948,2,1,132000
313,RM,65,7800,Pave,NA,Reg,AllPub,1.5Fin,1939,3,1,119900
314,RL,150,215245,Pave,NA,IR3,AllPub,1Story,1965,3,1,375000
315,RM,60,9600,Pave,Grvl,Reg,AllPub,2Story,1925,3,1,178000
316,RL,71,7795,Pave,NA,IR1,AllPub,2Story,2004,3,1,188500
317,RL,94,13005,Pave,NA,IR1,AllPub,2Story,1980,4,1,260000
318,FV,75,9000,Pave,NA,Reg,AllPub,2Story,2006,3,1,270000
319,RL,90,9900,Pave,NA,Reg,AllPub,2Story,1993,4,1,260000
320,RL,NA,14115,Pave,NA,Reg,AllPub,SLvl,1980,3,1,187500
321,RL,111,16259,Pave,NA,Reg,AllPub,2Story,2006,4,1,342643
322,RL,99,12099,Pave,NA,IR1,AllPub,2Story,2004,4,1,354000
323,RL,86,10380,Pave,NA,IR1,AllPub,2Story,1986,4,1,301000
324,RM,49,5820,Pave,NA,Reg,AllPub,1Story,1955,3,1,126175
325,RL,96,11275,Pave,NA,Reg,AllPub,SLvl,1967,5,1,242000
326,RM,50,5000,Pave,NA,Reg,AllPub,1.5Unf,1941,2,1,87000
327,RL,32,10846,Pave,NA,IR1,AllPub,1Story,1993,1,1,324000
328,RL,80,11600,Pave,NA,Reg,AllPub,1Story,1960,3,1,145250
329,RL,NA,11888,Pave,Pave,IR1,AllPub,2.5Unf,1916,5,1,214500
330,RM,60,6402,Pave,NA,Reg,AllPub,2Story,1920,3,1,78000
331,RL,NA,10624,Pave,NA,IR1,AllPub,1Story,1964,6,2,119000
332,RL,70,8176,Pave,NA,Reg,AllPub,1Story,1958,3,1,139000
333,RL,85,10655,Pave,NA,IR1,AllPub,1Story,2003,3,1,284000
334,RM,59,8198,Pave,NA,Reg,AllPub,1Story,2004,2,1,207000
335,RL,59,9042,Pave,NA,IR1,AllPub,2Story,1998,3,1,192000
336,RL,NA,164660,Grvl,NA,IR1,AllPub,1.5Fin,1965,3,1,228950
337,RL,86,14157,Pave,NA,IR1,AllPub,1Story,2005,3,1,377426
338,RL,70,9135,Pave,NA,Reg,AllPub,1Story,2002,3,1,214000
339,RL,91,14145,Pave,NA,Reg,AllPub,1Story,1984,3,1,202500
